                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1615,                 2.8283,                 3.0357,                0.00049,                  0.225,                0.00037,                0.00012,                 2.5437,                 4.6899,                 4.1868,             0.00057778,             0.00057778,             0.00057778
                     35,                 2.0188,                 2.6789,                 2.9138,                0.00049,                  0.225,                0.00037,                0.00012,                 2.6431,                 4.7148,                 4.2864,             0.00057778,             0.00057778,             0.00057778
                     36,                 2.0331,                 2.6168,                  2.928,                0.00049,                  0.225,                0.00037,                0.00012,                 2.7096,                 4.7129,                 4.3458,             0.00054478,             0.00054478,             0.00054478
                     37,                 2.2305,                 2.9858,                 3.1104,                0.00049,                  0.225,                0.00037,                0.00012,                 2.7096,                 4.7129,                 4.3458,             0.00051177,             0.00051177,             0.00051177
                     38,                 2.1033,                 2.9793,                 2.9424,                0.00049,                  0.225,                0.00037,                0.00012,                 2.7409,                 4.7126,                 4.3703,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.9973,                 2.7127,                 2.7972,                0.00049,                  0.225,                0.00037,                0.00012,                 2.7394,                 4.7025,                 4.3641,             0.00044576,             0.00044576,             0.00044576
                     40,                 2.1823,                 2.7553,                 2.9432,                0.00012,                  0.025,                  7e-05,                  1e-05,                 2.7258,                 4.6883,                 4.3493,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.3773,                 3.5057,                 2.5473,                0.00012,                  0.025,                  7e-05,                  1e-05,                 2.7258,                 4.6883,                 4.3493,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.3638,                 3.0179,                 2.4936,                0.00024,                   0.05,                0.00013,                  5e-05,                 2.6953,                 4.6635,                 4.3128,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.3211,                 2.9831,                 2.3916,                0.00012,                  0.025,                0.02256,                0.01579,                 2.6534,                 4.6418,                 4.2622,             0.00031373,             0.00031373,             0.00031373
                     44,                  1.227,                 2.8222,                  2.328,                0.60307,                  0.025,                0.02288,                0.01816,                  2.595,                 4.6132,                 4.1885,             0.00028072,             0.00028072,             0.00028072
                     45,                  1.311,                 2.8754,                  2.286,                0.60307,                  0.025,                0.02288,                0.01816,                  2.595,                 4.6132,                 4.1885,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.4921,                 2.8887,                 2.4573,                0.85542,                  0.025,                0.04174,                0.02994,                 2.4975,                 4.5477,                 4.0499,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.2751,                  2.968,                 2.3996,                      1,                0.04783,                0.18503,                0.08892,                 2.3227,                 4.4354,                 3.8211,              0.0001817,              0.0001817,              0.0001817
                     48,                  1.243,                 2.7187,                 2.2202,                      1,                 0.1204,                0.29564,                0.17825,                 2.0633,                 4.2778,                 3.4896,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.3049,                 2.8596,                 2.3372,                      1,                 0.1204,                0.29564,                0.17825,                 2.0633,                 4.2778,                 3.4896,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.4128,                 3.0562,                 2.4313,                0.95148,                0.23315,                0.41689,                0.24881,                 1.7108,                 4.0902,                 3.1025,             8.2683e-05,             8.2683e-05,             8.2683e-05
