                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.5724,                 3.1779,                 3.6587,                  8e-05,                  0.025,                  4e-05,                      0,                 2.2767,                 4.4986,                 4.1531,             0.00038711,             0.00038711,             0.00038711
                     35,                 2.3006,                 3.1772,                  3.567,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3225,                  4.428,                 4.1825,              0.0003759,              0.0003759,              0.0003759
                     36,                 2.5289,                  3.043,                 3.5291,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3527,                 4.4547,                 4.2076,             0.00036336,             0.00036336,             0.00036336
                     37,                  2.501,                 3.1556,                 3.5825,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3527,                 4.4547,                 4.2076,              0.0003495,              0.0003495,              0.0003495
                     38,                 2.4859,                 3.1982,                 3.5057,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3738,                  4.467,                 4.2247,             0.00033432,             0.00033432,             0.00033432
                     39,                 2.5404,                 3.0929,                 3.5055,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3688,                 4.5357,                 4.2161,             0.00031782,             0.00031782,             0.00031782
                     40,                 2.2512,                 2.7002,                 3.3838,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3688,                 4.5357,                 4.2161,                 0.0003,                 0.0003,                 0.0003
                     41,                 1.7595,                 3.6409,                 3.2662,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3614,                 4.5117,                 4.1961,             0.00028086,             0.00028086,             0.00028086
                     42,                 1.9017,                 3.5298,                 3.3763,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3499,                 4.8934,                 4.1756,              0.0002604,              0.0002604,              0.0002604
                     43,                 1.7587,                 3.4754,                 3.3181,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3499,                 4.8934,                 4.1756,             0.00023861,             0.00023861,             0.00023861
                     44,                 1.9175,                  3.481,                 3.2375,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3578,                 4.8621,                 4.1771,             0.00021551,             0.00021551,             0.00021551
                     45,                 1.6952,                 3.4158,                 3.3161,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3578,                 4.8621,                 4.1771,             0.00019109,             0.00019109,             0.00019109
                     46,                 1.8233,                 3.3292,                 3.1336,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3796,                 4.8016,                 4.1957,             0.00016535,             0.00016535,             0.00016535
                     47,                 1.8777,                 3.3509,                 3.2986,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3796,                 4.8016,                 4.1957,             0.00013829,             0.00013829,             0.00013829
                     48,                 1.8557,                 3.3165,                 3.1985,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3978,                 4.7446,                 4.2101,             0.00010991,             0.00010991,             0.00010991
                     49,                 1.9499,                 3.1947,                 3.2939,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3978,                 4.7446,                 4.2101,             8.0203e-05,             8.0203e-05,             8.0203e-05
                     50,                 1.8279,                 3.3108,                 3.3838,                 0.0001,                  0.025,                  5e-05,                  1e-05,                 2.4093,                  4.709,                 4.2184,              4.918e-05,              4.918e-05,              4.918e-05
